FIPS,food_desert_index
48201431802,2
48201431900,2
48201432001,2
48201432002,2
48201432100,0
48201432200,2
48201432300,2
48201432400,2
48201432500,2
48201432600,2
48201432701,2
48201432702,2
48201432801,2
48201432802,2
48201432901,2
48201432902,2
48201433001,2
48201433002,0
48201433003,0
48201433100,2
48201433201,2
48201433202,0
48201433300,2
48201433400,0
48201433501,2
48201433502,0
48201433600,2
48201440100,4
48201450100,2
48201450200,4
48201450300,2
48201450400,2
48201450500,4
48201450600,2
48201450700,4
48201450801,2
48201450802,2
48201450900,0
48201451001,0
48201451002,2
48201451100,2
48201451200,2
48201451300,2
48201451401,2
48201451402,2
48201451403,2
48201451500,2
48201451601,4
48201451602,4
48201451700,2
48201451800,2
48201451901,4
48201451902,4
48201452000,2
48201452100,2
48201452201,2
48201452202,2
48201452300,4
48201452400,2
48201452500,2
48201452600,2
48201452700,2
48201452801,2
48201452802,0
48201452900,2
48201453000,2
48201453100,2
48201453200,2
48201453300,2
48201453401,0
48201453402,2
48201453403,2
48201453501,2
48201453502,2
48201453601,2
48201453602,2
48201453700,2
48201453800,2
48201453900,4
48201454000,2
48201454100,2
48201454200,4
48201454301,2
48201454302,4
48201454400,0
48201454501,4
48201454502,4
48201454600,2
48201454700,2
48201454800,2
48201454900,4
48201455000,2
48201455101,4
48201455102,4
48201455200,4
48201455300,4
48201510100,2
48201510200,2
48201510300,2
48201510400,2
48201510500,2
48201510600,2
48201510700,2
48201510800,2
48201510900,4
48201511001,2
48201511002,2
48201511100,2
48201511200,2
48201511301,0
48201511302,2
48201511400,2
48201511500,2
48201511600,2
48201520100,2
48201520200,2
48201520300,2
48201520400,2
48201520500,2
48201520601,0
48201520602,0
48201520700,2
48201521000,0
48201521100,0
48201521200,2
48201521300,2
48201521400,2
48201521500,2
48201521600,4
48201521700,4
48201521800,4
48201521900,2
48201522000,2
48201522100,2
48201522201,2
48201522202,2
48201522301,0
48201522302,0
48201522401,2
48201522402,2
48201522500,2
48201530100,2
48201530200,2
48201530300,2
48201530400,2
48201530500,2
48201530600,2
48201530700,2
48201530800,2
48201530900,2
48201531000,2
48201531100,2
48201531200,2
48201531300,2
48201531400,2
48201531500,2
48201531600,4
48201531700,2
48201531800,4
48201531900,4
48201532001,2
48201532002,2
48201532100,2
48201532200,2
48201532300,2
48201532400,4
48201532501,4
48201532502,2
48201532600,4
48201532700,2
48201532800,2
48201532900,4
48201533000,4
48201533100,4
48201533200,4
48201533300,4
48201533400,4
48201533500,4
48201533600,2
48201533701,2
48201533702,2
48201533801,4
48201533802,4
48201533901,4
48201533902,2
48201534001,2
48201534002,2
48201534003,4
48201534100,4
48201534201,2
48201534202,4
48201534203,4
48201540100,4
48201540200,4
48201540501,0
48201540502,2
48201540601,2
48201540602,2
48201540700,4
48201540800,4
48201540901,4
48201540902,2
48201541001,4
48201541002,4
48201541003,4
48201541100,4
48201541201,2
48201541202,4
48201541203,2
48201541300,2
48201541400,4
48201541500,2
48201541601,4
48201541602,4
48201541700,0
48201541800,4
48201541900,4
48201542000,4
48201542101,4
48201542102,4
48201542200,4
48201542301,4
48201542302,4
48201542400,2
48201542500,4
48201542600,2
48201542700,2
48201542800,4
48201542900,0
48201543001,0
48201543002,0
48201543003,4
48201543100,0
48201543200,0
48201550100,4
48201550200,2
48201550301,4
48201550302,4
48201550401,4
48201550402,4
48201550500,4
48201550601,4
48201550602,0
48201550603,2
48201550700,4
48201550800,2
48201550900,4
48201551000,2
48201551100,2
48201551200,2
48201551300,4
48201551400,4
48201551500,4
48201551600,4
48201551701,2
48201551702,2
48201551703,4
48201551800,4
48201551900,2
48201552001,2
48201552002,2
48201552101,4
48201552102,4
48201552103,2
48201552200,4
48201552301,4
48201552302,4
48201552400,4
48201552500,2
48201552601,4
48201552602,4
48201552700,2
48201552800,4
48201552900,2
48201553001,4
48201553002,4
48201553100,4
48201553200,4
48201553300,2
48201553401,4
48201553402,2
48201553403,2
48201553500,4
48201553600,4
48201553700,4
48201553801,4
48201553802,4
48201553900,4
48201554001,2
48201554002,2
48201554101,2
48201554102,4
48201554200,2
48201554301,2
48201554302,2
48201554401,4
48201554402,4
48201554403,4
48201554501,4
48201554502,2
48201554600,4
48201554700,2
48201554801,4
48201554802,4
48201554901,4
48201554902,4
48201554903,4
48201555000,4
48201555100,4
48201555200,4
48201555301,4
48201555302,4
48201555303,0
48201555401,4
48201555402,4
48201555501,0
48201555502,4
48201555600,0
48201555701,4
48201555702,4
48201556000,0
48201980000,4
48201980100,4
