FIPS,Socioeconomic,Housing - Disability,Minority Status - Language,Housing - Transportation,SVI INDEX
48201532200,0.8502,0.4857,0.9001,0.6467,0.7992
48201532300,0.3844,0.3846,0.7872,0.6264,0.5514
48201532400,0.3952,0.5453,0.7417,0.6358,0.5787
48201532501,0.5985,0.2207,0.8509,0.3364,0.5175
48201532502,0.6399,0.1004,0.846,0.1641,0.4203
48201532600,0.7566,0.29600000000000004,0.924,0.7033,0.7388
48201532700,0.7063,0.5760000000000001,0.7141,0.5014,0.6655
48201532800,0.7113,0.215,0.8888,0.1656,0.5092
48201532900,0.7915,0.3665,0.9256,0.4164,0.6887
48201533000,0.9609,0.9184,0.8785,0.7079,0.9411
48201533100,0.7092,0.5907,0.7465,0.4149,0.6499
48201533200,0.6762,0.5246,0.8284,0.3863,0.6317
48201533300,0.9469,0.9690000000000001,0.8039,0.9735,0.9914
48201533400,0.9421,0.8105,0.9409,0.6561,0.9075
48201533500,0.6612,0.4988,0.8182,0.1389,0.5225
48201533600,0.8912,0.4484,0.9202,0.9538,0.9192
48201533701,0.9488,0.6873,0.9768,0.6283,0.8894
48201533702,0.8364,0.3543,0.9011,0.2621,0.6476
48201533801,0.7829,0.488,0.9397,0.521,0.7440000000000001
48201533802,0.8697,0.6365,0.96,0.4652,0.7969
48201533901,0.8082,0.7496,0.9045,0.3126,0.733
48201533902,0.9829,0.8498,0.9537,0.6976,0.9466
48201534001,0.9676,0.4556,0.9235,0.9524,0.9486
48201534002,0.7848,0.7149,0.8854,0.1637,0.652
48201534003,0.6875,0.43,0.902,0.3562,0.6255
48201534100,0.7568,0.6409,0.8643,0.6509,0.7759999999999999
48201534202,0.192,0.0552,0.5343,0.1263,0.1278
48201540100,0.1076,0.0728,0.6509999999999999,0.3955,0.2169
48201540200,0.5820000000000001,0.1801,0.8328,0.3523,0.496
48201540501,0.5032,0.2154,0.8419,0.3005,0.4616
48201540502,0.2885,0.2248,0.4263,0.0127,0.0981
