,FIPS,year,population,poverty-rate,median-household-income,median-property-value,evictions,eviction-rate
37155,48029120901,2016,2150.0,26.35,36250.0,180400.0,17.0,2.46
37172,48029120902,2016,7098.0,8.15,50669.0,279300.0,95.0,4.25
37189,48029121000,2016,7340.0,11.86,50127.0,124400.0,69.0,4.82
37206,48029121108,2016,7365.0,5.3,54414.0,187600.0,18.0,1.06
37223,48029121110,2016,5423.0,2.95,75584.0,136800.0,6.0,2.03
37240,48029121111,2016,6653.0,11.96,59291.0,113900.0,24.0,2.57
37257,48029121112,2016,3916.0,9.58,49593.0,138400.0,24.0,2.05
37274,48029121115,2016,5305.0,3.06,84500.0,187900.0,24.0,4.0
37291,48029121116,2016,5524.0,12.57,49792.0,174700.0,21.0,1.78
37308,48029121117,2016,4356.0,3.6,70455.0,184800.0,27.0,2.59
37325,48029121118,2016,6206.0,3.7,55000.0,207700.0,24.0,2.05
37342,48029121119,2016,5272.0,7.43,54505.0,146800.0,31.0,3.3
37359,48029121120,2016,5504.0,1.35,65641.0,134900.0,10.0,1.59
37376,48029121121,2016,3156.0,1.96,103300.0,188200.0,1.0,1.14
37393,48029121122,2016,5436.0,1.38,78242.0,164700.0,5.0,2.02
37410,48029121203,2016,4080.0,22.93,39571.0,81100.0,43.0,6.5
37427,48029121204,2016,7269.0,12.64,34640.0,110900.0,96.0,3.01
37444,48029121205,2016,4598.0,27.85,33990.0,91100.0,52.0,5.58
37461,48029121206,2016,8284.0,5.71,56516.0,110400.0,24.0,3.16
37478,48029121300,2016,6318.0,4.38,65975.0,157000.0,20.0,2.77
37495,48029121402,2016,6150.0,11.19,50127.0,90400.0,44.0,6.68
37512,48029121403,2016,5975.0,21.78,36802.0,109600.0,82.0,6.8
37529,48029121404,2016,4853.0,18.48,28557.0,73400.0,149.0,9.83
37546,48029121501,2016,8762.0,4.44,82472.0,137800.0,26.0,3.54
37563,48029121504,2016,7681.0,6.67,65069.0,118900.0,33.0,3.34
37580,48029121505,2016,5102.0,6.48,59543.0,102600.0,22.0,4.9
37597,48029121506,2016,4750.0,15.28,47219.0,78700.0,49.0,6.0
37614,48029121507,2016,4498.0,8.81,44531.0,100200.0,27.0,6.16
37631,48029121508,2016,4727.0,20.12,39792.0,90500.0,91.0,10.67
37648,48029121601,2016,5025.0,18.74,42778.0,113900.0,39.0,2.53
37665,48029121604,2016,8383.0,4.38,63704.0,134800.0,18.0,1.43
37682,48029121605,2016,2186.0,9.27,60392.0,103600.0,4.0,2.4
37699,48029121606,2016,5085.0,12.84,56052.0,104700.0,28.0,2.18
37716,48029121701,2016,3946.0,7.16,47388.0,129100.0,17.0,2.77
37733,48029121702,2016,7200.0,4.65,67003.0,200300.0,11.0,1.23
37750,48029121802,2016,8672.0,13.62,53777.0,135300.0,23.0,2.73
37767,48029121803,2016,4664.0,5.8,57210.0,103900.0,15.0,3.92
37784,48029121804,2016,7444.0,21.11,55212.0,110700.0,54.0,4.11
37801,48029121808,2016,3660.0,6.07,82167.0,151300.0,6.0,2.8
37818,48029121809,2016,5190.0,9.28,66679.0,134700.0,10.0,2.51
37835,48029121810,2016,4801.0,6.07,73229.0,149800.0,3.0,1.27
37852,48029121811,2016,5090.0,1.01,78979.0,171100.0,5.0,1.72
37869,48029121812,2016,6170.0,8.57,61074.0,137500.0,10.0,1.74
37886,48029121813,2016,1467.0,6.15,57679.0,118700.0,2.0,1.89
37903,48029121903,2016,5512.0,1.35,105374.0,234300.0,6.0,3.92
37920,48029121904,2016,3649.0,8.11,110089.0,198600.0,0.0,0.0
37937,48029121905,2016,5956.0,3.19,96146.0,362600.0,26.0,2.07
37954,48029121906,2016,5661.0,3.07,88721.0,207100.0,27.0,2.59
37971,48029121907,2016,10923.0,1.09,95679.0,237200.0,21.0,1.58
37988,48029121908,2016,2765.0,6.08,108344.0,282800.0,3.0,2.34
38005,48029121909,2016,5933.0,6.94,73850.0,160500.0,21.0,2.73
38022,48029121910,2016,4840.0,1.0,96389.0,194900.0,12.0,3.53
38039,48029130200,2016,2269.0,41.01,29068.0,54800.0,37.0,12.01
38056,48029130300,2016,3595.0,30.9,33427.0,60600.0,37.0,7.12
38073,48029130401,2016,4072.0,30.91,27609.0,62800.0,32.0,5.41
38090,48029130402,2016,4457.0,41.8,22485.0,51200.0,56.0,6.9
38107,48029130500,2016,4920.0,50.0,22255.0,58900.0,45.0,5.59
38124,48029130600,2016,4376.0,45.01,19475.0,50300.0,72.0,8.83
38141,48029130700,2016,2262.0,30.48,25917.0,63800.0,21.0,4.94
38158,48029130800,2016,5651.0,34.25,28167.0,75400.0,104.0,8.81
38175,48029130900,2016,4454.0,32.79,21693.0,69500.0,68.0,5.89
38192,48029131000,2016,5394.0,34.28,28528.0,72100.0,107.0,14.4
38209,48029131100,2016,2239.0,19.85,27361.0,58900.0,28.0,7.61
38226,48029131200,2016,3019.0,23.08,29892.0,89200.0,32.0,4.19
38243,48029131300,2016,5401.0,15.77,35330.0,82700.0,14.0,2.44
38260,48029131401,2016,8299.0,16.11,59517.0,110200.0,40.0,6.58
38277,48029131402,2016,2787.0,15.06,42328.0,81900.0,17.0,8.02
38294,48029131503,2016,3730.0,8.08,52208.0,91600.0,10.0,2.8
38311,48029131504,2016,3583.0,12.34,49066.0,74900.0,24.0,5.39
38328,48029131505,2016,4178.0,9.97,62531.0,113500.0,12.0,4.53
38345,48029131506,2016,3365.0,15.57,43835.0,96300.0,19.0,4.62
38362,48029131507,2016,6876.0,27.53,33750.0,69400.0,51.0,6.6
38379,48029131601,2016,3332.0,13.17,81250.0,199500.0,17.0,4.2
38396,48029131606,2016,5365.0,6.9,65774.0,140300.0,11.0,2.79
38413,48029131608,2016,5764.0,12.12,48991.0,151700.0,26.0,2.19
38430,48029131609,2016,8692.0,6.51,71740.0,132600.0,48.0,5.59
38447,48029131610,2016,5282.0,4.13,64696.0,104900.0,39.0,6.82
38464,48029131611,2016,1225.0,8.39,78167.0,128100.0,2.0,2.38
38481,48029131612,2016,1986.0,13.86,57782.0,133000.0,6.0,4.62
38498,48029131613,2016,4632.0,12.93,61453.0,126800.0,10.0,2.25
38515,48029131614,2016,4131.0,7.55,62188.0,126800.0,51.0,10.04
38532,48029131615,2016,7160.0,10.91,57026.0,134700.0,51.0,4.78
38566,48029131801,2016,2518.0,4.53,67875.0,153800.0,2.0,1.33
38583,48029131802,2016,5240.0,4.02,64125.0,169000.0,13.0,3.16
38600,48029140100,2016,1787.0,16.75,38438.0,69500.0,11.0,3.62
38617,48029140200,2016,2767.0,7.89,27750.0,79200.0,22.0,4.42
38634,48029140300,2016,3227.0,19.92,29575.0,62400.0,26.0,4.94
38651,48029140400,2016,4023.0,13.35,37890.0,80200.0,15.0,2.85
38668,48029140500,2016,3977.0,12.41,36500.0,86200.0,16.0,3.05
38685,48029140600,2016,2670.0,18.9,32250.0,71200.0,18.0,5.36
38702,48029140700,2016,5100.0,12.27,32621.0,83300.0,34.0,3.73
38719,48029140800,2016,5632.0,22.85,31958.0,70300.0,35.0,4.65
38736,48029140900,2016,2024.0,26.57,30025.0,61300.0,11.0,4.31
38753,48029141000,2016,3719.0,31.08,22614.0,69400.0,69.0,7.74
38770,48029141101,2016,4456.0,19.08,24865.0,75400.0,87.0,6.33
38787,48029141102,2016,3315.0,20.95,29375.0,75500.0,78.0,8.32
38804,48029141200,2016,7029.0,32.12,32088.0,78900.0,44.0,4.55
38821,48029141300,2016,6486.0,12.46,43333.0,106700.0,275.0,28.53
38838,48029141402,2016,3664.0,14.86,68125.0,136400.0,7.0,3.57
38855,48029141403,2016,4217.0,9.47,48125.0,88300.0,19.0,3.53
38872,48029141404,2016,5318.0,15.37,43500.0,89400.0,40.0,7.09
38889,48029141600,2016,4907.0,10.44,53534.0,97800.0,7.0,3.48
38906,48029141700,2016,5236.0,9.43,66548.0,136400.0,41.0,8.45
38923,48029141800,2016,4248.0,21.48,43365.0,86900.0,22.0,5.93
38940,48029141900,2016,5714.0,7.47,55076.0,112400.0,13.0,2.86
38957,48029150100,2016,5253.0,32.19,29789.0,61300.0,31.0,3.47
38974,48029150300,2016,5386.0,34.69,26333.0,62000.0,18.0,2.91
38991,48029150400,2016,3863.0,26.36,32045.0,63800.0,16.0,2.87
39008,48029150501,2016,4950.0,36.61,26890.0,59300.0,15.0,3.23
39025,48029150502,2016,4455.0,21.76,27868.0,60900.0,11.0,2.78
39042,48029150600,2016,4845.0,31.06,32971.0,67900.0,18.0,3.5
39059,48029150700,2016,6069.0,25.84,30413.0,58400.0,59.0,6.69
39076,48029150800,2016,3541.0,60.97,14197.0,64600.0,33.0,3.65
39093,48029150900,2016,6072.0,18.56,33706.0,66300.0,54.0,6.49
39110,48029151000,2016,3438.0,29.61,26791.0,71900.0,12.0,2.48
39127,48029151100,2016,7088.0,14.32,37610.0,67900.0,30.0,4.01
39144,48029151200,2016,9922.0,25.97,45067.0,80600.0,33.0,2.63
39161,48029151301,2016,5897.0,19.83,37652.0,74300.0,34.0,5.79
39178,48029151302,2016,3187.0,14.47,42083.0,77300.0,25.0,8.77
39195,48029151400,2016,4861.0,30.04,31161.0,80900.0,54.0,8.46
39212,48029151500,2016,2675.0,12.63,40400.0,74600.0,21.0,5.21
39229,48029151600,2016,7379.0,20.94,40071.0,80600.0,61.0,6.16
39246,48029151700,2016,7014.0,15.19,43259.0,85300.0,43.0,8.41
39263,48029151900,2016,6117.0,15.84,45276.0,59500.0,43.0,4.94
39280,48029152000,2016,2513.0,29.74,37734.0,150200.0,48.0,13.08
39297,48029152100,2016,4511.0,18.5,44564.0,74200.0,14.0,3.67
39314,48029152201,2016,7666.0,20.62,43732.0,74100.0,23.0,3.79
39331,48029152202,2016,4752.0,17.95,53778.0,77800.0,17.0,7.14
39348,48029160100,2016,6441.0,46.61,22986.0,58800.0,37.0,3.57
39365,48029160200,2016,2526.0,12.38,36458.0,72900.0,13.0,4.19
39382,48029160300,2016,5554.0,20.43,32168.0,72800.0,34.0,5.79
39399,48029160400,2016,4452.0,25.79,31656.0,65200.0,20.0,3.93
39416,48029160501,2016,3869.0,52.99,16939.0,67300.0,12.0,1.47
39433,48029160502,2016,4272.0,12.69,38279.0,69900.0,29.0,6.71
39450,48029160600,2016,5125.0,43.99,23477.0,52900.0,39.0,6.0
39467,48029160701,2016,3387.0,33.59,29735.0,62800.0,16.0,5.78
39484,48029160702,2016,5025.0,33.08,22076.0,70200.0,110.0,9.09
39501,48029160901,2016,3092.0,30.48,32826.0,69800.0,23.0,5.25
39518,48029160902,2016,4873.0,24.69,30927.0,59800.0,38.0,4.91
39535,48029161000,2016,3781.0,36.36,24097.0,60800.0,37.0,4.56
39552,48029161100,2016,9998.0,11.35,38441.0,68400.0,28.0,3.94
39569,48029161200,2016,3151.0,24.16,35404.0,70700.0,25.0,6.46
39586,48029161302,2016,5954.0,26.37,39018.0,67400.0,18.0,2.94
39603,48029161303,2016,5021.0,29.56,38084.0,61400.0,19.0,4.7
39620,48029161304,2016,4139.0,46.94,30345.0,57200.0,40.0,8.25
39654,48029161501,2016,8137.0,17.65,40306.0,70900.0,81.0,4.94
39671,48029161503,2016,3966.0,22.49,41417.0,71900.0,22.0,6.53
39688,48029161504,2016,4590.0,21.15,37561.0,74900.0,39.0,7.41
39705,48029161600,2016,4638.0,19.85,37979.0,73900.0,34.0,5.85
39722,48029161801,2016,4044.0,12.44,50083.0,125500.0,9.0,1.75
39739,48029161802,2016,7623.0,20.14,42885.0,84800.0,25.0,4.86
39756,48029161901,2016,1093.0,14.05,44271.0,95900.0,0.0,0.0
39773,48029161902,2016,9979.0,13.66,53953.0,106700.0,15.0,2.78
39790,48029162001,2016,2162.0,15.02,42026.0,84600.0,4.0,1.99
39807,48029162003,2016,5194.0,17.67,39545.0,72600.0,16.0,3.34
39824,48029162004,2016,3297.0,21.22,41250.0,101600.0,3.0,0.92
39841,48029170101,2016,4133.0,37.15,27863.0,47600.0,21.0,3.88
39858,48029170102,2016,3802.0,18.05,33958.0,51300.0,25.0,4.28
39875,48029170200,2016,5664.0,37.34,25013.0,61300.0,35.0,3.29
39892,48029170300,2016,6519.0,40.47,22601.0,55600.0,24.0,2.99
39909,48029170401,2016,4243.0,47.58,18310.0,53500.0,39.0,4.91
39926,48029170402,2016,4455.0,27.65,24722.0,60700.0,31.0,4.51
39943,48029170500,2016,4884.0,13.73,34088.0,69800.0,23.0,2.81
39960,48029170600,2016,4612.0,18.27,35556.0,72700.0,32.0,5.05
39977,48029170700,2016,5071.0,35.83,30183.0,55000.0,15.0,2.65
39994,48029170800,2016,1382.0,36.42,20039.0,56800.0,13.0,4.18
40011,48029170900,2016,3389.0,29.74,21370.0,54800.0,15.0,2.85
40028,48029171000,2016,6016.0,32.29,28519.0,53000.0,26.0,3.65
40045,48029171100,2016,3581.0,24.64,23417.0,58500.0,20.0,3.7
40062,48029171200,2016,4693.0,24.05,28350.0,55100.0,27.0,5.18
40079,48029171301,2016,2926.0,24.09,31333.0,64600.0,15.0,4.84
40096,48029171302,2016,4724.0,19.65,34583.0,76400.0,10.0,2.9
40113,48029171401,2016,4750.0,35.41,32738.0,88900.0,40.0,5.69
40130,48029171402,2016,5780.0,28.27,33592.0,69400.0,31.0,7.24
40147,48029171501,2016,2641.0,32.68,28531.0,68800.0,8.0,2.27
40164,48029171502,2016,4992.0,27.33,25735.0,52600.0,34.0,5.73
40181,48029171601,2016,4609.0,24.07,29965.0,65200.0,20.0,3.3
40198,48029171602,2016,3048.0,40.45,20469.0,69400.0,30.0,7.56
40215,48029171700,2016,7851.0,29.8,35511.0,84300.0,58.0,7.44
40232,48029171801,2016,6225.0,20.8,36139.0,87000.0,35.0,4.04
40249,48029171802,2016,6453.0,38.08,29620.0,69300.0,136.0,11.28
40266,48029171902,2016,12443.0,25.56,36259.0,125500.0,137.0,3.69
40283,48029171903,2016,7593.0,18.39,39991.0,74700.0,148.0,12.4
40300,48029171912,2016,6569.0,5.01,88309.0,155500.0,23.0,6.52
